Entity,Tags,Rating_by_Clinician
diminazene,chemical,1
3cl pro,protein,4
feno,protein,1
cre,protein,0
csfv,protein,0
papain,protein,1
lactic dehydrogenase,protein,0
cpli,chemical,0
alanine,chemical,2
l-lactate,chemical,3
nucleocapsid gene,protein,2
6-aminohexanoic acid,chemical,3
pp1a,protein,0
pip6c,protein,0
spike proteins,protein,5
liver enzymes,protein,4
cd40 ligand,protein,4
etanercept,chemical,3
bezafibrate,chemical,4
n-terminal portion,protein,2
emc,protein,2
s1 domain,protein,2
urea,chemical,3
plasma hemoglobin,protein,2
prednisone,chemical,4.9
calreticulin,protein,3
vildagliptin,chemical,5
6-mercaptopurine,chemical,2
pip5e,protein,1
procalcitonin,chemical,5
bcov,protein,0
ebov vp35,protein,2
globulin,protein,3
srr7,protein,1
pla2g2d,protein,1
tcid,chemical,2
ribavirin,chemical,3
hr2 domains,protein,0
impdh,protein,1
dub,protein,1
enfuvirtide,chemical,4
urine protein,protein,2
d510 g and i529 t,protein,2
ferritin,protein,0
pip6d,protein,2
pol2zn site,protein,0
cystatin c,chemical,4
amino acid sequence,protein,5
sars-,chemical,0
human immunoglobulin,protein,5
guanidine hydrochloride,chemical,1
c-terminal heptad repeat,protein,2
batcov hku5,protein,3
nilotinib,chemical,1
nucleotide sugar,chemical,3
autoantibodies,protein,3
parallel trimers,protein,0
sorafenib,chemical,5
cov-2,protein,0
sitagliptin,chemical,4
structural protein 5,protein,5
alt,protein,0
azt,chemical,3
fludarabine,chemical,1
neopterin,chemical,2
wnt,protein,0
pil-18,protein,2
cd13,protein,4.5
eicosanoids,chemical,4
dipeptidyl peptidase 4,protein,2
at4,protein,0
medroxyprogesterone acetate,chemical,4
tpr,protein,1
aspartate aminotransferase,protein,1
crt,protein,1
triglycerides,chemical,4
sars_np,protein,3
dipeptide,chemical,2
dasatinib,chemical,4
g3bp1,protein,4
nucleocapsid (n) protein,protein,4
prothrombin,protein,3
cov proteins,protein,4
transferase,protein,1
immunodominant epitopes,protein,2
c m,protein,0
cov papain,protein,0
amodiaquine,chemical,3
ek1c4,protein,0
carbon monoxide,chemical,0
cov spike (s) protein,protein,4.8
pvax1-(pedv,protein,0
butyrate,chemical,3
kit,protein,2
tmprss2,protein,5
tagged recombinant proteins,protein,3
n-terminal domain,protein,4
srr11,protein,1
cov nucleocapsid protein,protein,3
s2 subunit,protein,3
nrp,protein,2
fatty acid,chemical,3
hydrophobic core,protein,0
creatine kinase isoenzyme,protein,3
c-reactive protein,protein,5
diminazene aceturate,chemical,0
nsp1,protein,3
putative nonstructural proteins,protein,4
immunoglobulin g,protein,4
nevirapine,chemical,5
orf1b,protein,3
coronavirus sequences,protein,2
alanine transaminase,protein,1
spike regions,protein,4
teicoplanin,chemical,5
pp1ab,protein,4
receptor binding domains,protein,5
cathepsins,protein,4
bilirubin,chemical,4
bilirubinuria,chemical,3
bat_sars,protein,3
creatine,chemical,4
pvax1,protein,2
viral proteinases,protein,0
replicase polyproteins,protein,1
6tg,chemical,1
phosphorous,chemical,4
16 subunits,protein,3
nsp,protein,5
r441a,protein,2
reverse transcription,protein,3
cox2,protein,0
imp,chemical,3
orf1a,protein,3
nsp3,protein,2
cov s glycoprotein,protein,4
s450-650,protein,3
gamma glutamyltransferase,protein,5
mf59,protein,0
cardiac troponin,protein,3
pkl,protein,1
s1 subunit,protein,4.9
rna structure,protein,3
magnesium,chemical,3
inosine monophosphate,chemical,3
nelfinavir,chemical,5
sarsr,protein,1
philadelphia chromosome,protein,0
focal adhesion kinase,protein,2
cep_c30,protein,5
exon,protein,0
plvp,protein,0
aspartate,chemical,2
sprotein,protein,5
pancov,protein,1
mycophenolic acid,chemical,2
nidoviruses,protein,0
mizoribine,chemical,3
dimercaptosuccinic acid,chemical,3
androgen receptor,protein,0
spike (s) protein,protein,5
coronavirus s protein,protein,2
imatinib,chemical,3
ritonavir,chemical,4
e7,protein,2
creatine kinase,protein,3
6mp,chemical,2
class i viral fusion proteins,protein,3
resazurin,chemical,4
s1 region,protein,1
bismuth citrate,chemical,2
reactive protein,protein,3
pla 2 g2d,protein,0
cov s protein,protein,4
receptor-binding domain,protein,2
ratg13,protein,1
niclosamide,chemical,3
terconazole,chemical,4
lopinavir,chemical,4
fusion subunit,protein,4
mers,protein,0
bortezomib,chemical,4
pao,chemical,0
fusion,protein,5
protease domains,protein,1
hcov whole genomes,protein,1
aminotransferase,protein,2
angiotensin converting enzyme 2,protein,1
saquinavir,chemical,5
spike protein,protein,5
promazine,chemical,3
lactate,chemical,4
lactate dehydrogenase,protein,2
rbm,protein,2
spike glycoprotein,protein,4
receptor binding domain,protein,0
parp1,protein,2
